Anio,Accidentes,Cambio,Objetivo
2016,59,0.0,0.0
2017,47,-20.34,54.870000000000005
2018,55,17.02,43.71
2019,47,-14.55,51.150000000000006
2020,26,-44.68,43.71
2021,45,73.08,24.18
