IdHecho,Rol,Sexo,Edad
2017-0109,conductor,M,21
2017-0110,peaton,M,56
2017-0111,peaton,F,79
2017-0112,pasajero_acompañante,M,1
2017-0112,pasajero_acompañante,M,
2017-0113,peaton,F,76
2017-0114,conductor,M,26
2017-0115,conductor,M,34
2017-0116,conductor,M,22
2017-0118,pasajero_acompañante,F,26
2017-0120,conductor,M,20
2017-0123,peaton,F,36
2017-0124,conductor,M,51
2017-0125,conductor,M,29
2017-0126,pasajero_acompañante,M,39
2017-0126,conductor,M,36
2017-0127,pasajero_acompañante,M,24
2017-0128,peaton,F,60
2017-0129,conductor,M,57
2017-0130,conductor,M,23
2017-0132,conductor,M,23
2017-0134,peaton,F,47
2017-0135,conductor,M,24
2017-0136,peaton,M,55
2017-0137,peaton,F,60
2017-0138,pasajero_acompañante,M,25
2017-0139,pasajero_acompañante,F,15
2017-0141,peaton,F,22
2017-0143,conductor,M,50
2017-0144,pasajero_acompañante,F,50
2017-0145,conductor,M,58
2017-0147,conductor,M,49
2017-0148,peaton,F,82
2017-0149,peaton,M,13
2017-0150,peaton,M,56
2017-0151,peaton,M,
2017-0152,ciclista,M,19
2017-0153,pasajero_acompañante,M,
2017-0153,conductor,M,30
2017-0154,peaton,M,76
2017-0157,conductor,M,53
2017-0158,conductor,M,32
2017-0159,conductor,M,27
2017-0160,peaton,F,30
2017-0161,peaton,F,30
2018-0001,peaton,M,83
2018-0002,ciclista,F,26
2018-0003,peaton,F,58
2018-0004,conductor,M,39
2018-0005,peaton,M,54
2018-0006,ciclista,F,45
2018-0007,conductor,M,46
2018-0008,conductor,F,32
2018-0009,conductor,M,19
2018-0010,conductor,M,40
2018-0011,peaton,M,84
2018-0012,conductor,M,20
2018-0013,conductor,M,44
2018-0014,peaton,M,
2018-0015,conductor,M,28
2018-0015,pasajero_acompañante,M,19
2018-0016,conductor,M,31
2018-0017,peaton,M,35
2018-0018,conductor,M,26
2018-0019,peaton,F,80
2018-0020,conductor,M,26
2018-0021,peaton,F,62
2018-0022,conductor,M,28
2018-0023,conductor,M,28
2018-0024,peaton,M,70
2018-0025,peaton,M,70
2018-0026,conductor,M,24
2018-0026,pasajero_acompañante,M,30
2018-0027,peaton,F,74
2018-0028,peaton,M,71
2018-0029,conductor,M,26
2018-0030,conductor,M,24
2018-0031,conductor,M,31
2018-0032,peaton,M,70
2018-0033,conductor,F,42
2018-0034,peaton,M,24
2018-0035,peaton,F,39
2018-0036,conductor,M,37
2018-0037,peaton,M,84
2018-0038,peaton,F,59
2018-0038,peaton,M,61
2018-0040,peaton,F,
2018-0041,peaton,F,78
2018-0042,pasajero_acompañante,M,23
2018-0043,conductor,M,25
2018-0044,peaton,F,50
2018-0045,conductor,M,60
2018-0046,peaton,M,11
2018-0047,peaton,M,82
2018-0048,peaton,M,57
2018-0049,peaton,F,40
2018-0050,peaton,F,47
