ID,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado,Rol,Sexo,Edad
2016-0079,2016,6,17,avenida,del libertador av.,13,-58.45504154,-34.54864492,auto,auto,conductor,F,51
2016-0081,2016,6,7,avenida,"larralde, crisologo av.",12,-58.4872106,-34.55904606,moto,auto,conductor,M,40
2016-0082,2016,6,18,avenida,la plata av.,4,-58.42273092,-34.64228803,peaton,auto,peaton,M,87
2016-0083,2016,6,20,avenida,"alberdi, juan bautista av.",6,-58.44788671,-34.62539009,peaton,moto,peaton,F,76
2016-0084,2016,6,22,calle,"pellegrini, carlos",1,-58.38110563,-34.60135531,peaton,autobus,peaton,M,57
2016-0085,2016,6,22,avenida,"rabanal, francisco, intendente av.",4,-58.42378834,-34.657341,moto,emergencias,conductor,M,24
2016-0086,2016,6,16,avenida,olivera av.,10,-58.48727942,-34.63652467,peaton,autobus,peaton,M,75
2016-0087,2016,7,0,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37864583,-34.62907067,moto,objeto fijo,conductor,M,23
2016-0088,2016,7,15,calle,ceretti,12,-58.5015175,-34.56767549,peaton,auto,peaton,F,70
2016-0089,2016,7,6,autopista,"lugones, leopoldo av.",13,-58.43233425,-34.55185825,peaton,auto,peaton,M,35
2016-0090,2016,7,22,avenida,"salguero, jeronimo",5,-58.41971993,-34.6111224,peaton,autobus,peaton,M,60
2016-0092,2016,7,11,gral paz,"paz, gral. av.",13,-58.46743471,-34.53476874,moto,de_carga,conductor,M,24
2016-0093,2016,7,3,avenida,"alberdi, juan bautista av.",6,-58.44362126,-34.62301748,auto,auto,conductor,M,35
2016-0095,2016,7,6,avenida,mercedes,11,-58.51713095,-34.59546519,moto,auto,conductor,M,29
2016-0096,2016,7,7,autopista,autopista dellepiane luis tte. gral.,8,-58.47433193007387,-34.66684950051973,moto,de_carga,conductor,M,24
2016-0097,2016,7,18,calle,solis,1,-58.39038605,-34.6156281,peaton,auto,peaton,M,80
2016-0098,2016,7,16,avenida,san juan av.,3,-58.40042405,-34.62356174,moto,de_carga,conductor,F,43
2016-0099,2016,7,16,gral paz,mosconi general av.,11,-58.52340614,-34.59798754,de_carga,de_carga,conductor,M,45
2016-0100,2016,8,23,gral paz,"paz, gral. av.",12,-58.49491054,-34.54795581,moto,objeto fijo,conductor,M,57
2016-0102,2016,8,23,avenida,"peron, eva av.",9,-58.50011639,-34.67316502,moto,de_carga,conductor,M,29
2016-0104,2016,8,21,avenida,zinny,9,-58.46635001,-34.65624369,moto,autobus,conductor,M,21
2016-0105,2016,8,0,avenida,"lacroze, federico av.",15,-58.45343236,-34.58435809,peaton,autobus,peaton,M,19
2016-0106,2016,8,21,avenida,"pellegrini, carlos",1,-58.38090932,-34.58927731,peaton,autobus,peaton,M,38
2016-0107,2016,8,8,autopista,autopista 1 sur presidente arturo frondizi,4,-58.37157668,-34.65429986,moto,auto,conductor,M,21
2016-0109,2016,8,5,autopista,autopista perito moreno,9,-58.52280139,-34.63659934,auto,objeto fijo,conductor,F,53
2016-0111,2016,8,9,autopista,lugones,15,-58.47461905,-34.57663634,moto,de_carga,conductor,M,27
2016-0112,2016,8,4,autopista,autopista 25 de mayo,1,-58.38268809,-34.62282019,moto,objeto fijo,conductor,M,24
2016-0113,2016,8,16,avenida,"alberdi, juan bautista av.",9,-58.49603546,-34.64564271,peaton,autobus,peaton,F,60
2016-0114,2016,8,11,calle,"salguero, jeronimo",14,-58.41848605,-34.59394733,bicicleta,de_carga,ciclista,F,55
2016-0116,2016,9,20,avenida,27 de febrero av.,8,-58.44451316,-34.68475866,moto,auto,conductor,M,30
2016-0117,2016,9,15,avenida,del libertador av.,14,-58.39936478,-34.58271474,auto,auto,conductor,M,43
2016-0118,2016,9,3,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37936704,-34.62694503,auto,auto,conductor,M,27
2016-0122,2016,9,7,avenida,"peron, eva av.",9,-58.47256391,-34.65194557,bicicleta,autobus,ciclista,M,49
2016-0123,2016,9,9,avenida,asamblea av.,7,-58.45130953,-34.64053676,moto,auto,conductor,F,58
2016-0124,2016,9,15,avenida,rivadavia av.,7,-58.46271207,-34.62884871,peaton,autobus,peaton,M,67
2016-0125,2016,9,12,autopista,autopista perito moreno,10,-58.49020869,-34.64243791,moto,moto,conductor,M,30
2016-0126,2016,9,22,calle,irigoyen,10,-58.52572109,-34.62125906,auto,de_carga,conductor,M,37
2016-0126,2016,9,22,calle,irigoyen,10,-58.52572109,-34.62125906,auto,de_carga,pasajero_acompañante,M,60
2016-0127,2016,9,10,avenida,"acosta, mariano av.",8,-58.44094791,-34.66677111,peaton,autobus,peaton,M,50
2016-0128,2016,10,11,avenida,castro,5,-58.41914024,-34.6305389,peaton,autobus,peaton,F,81
2016-0130,2016,10,12,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37910942,-34.62764717,moto,de_carga,conductor,M,29
2016-0131,2016,10,19,calle,mirave,4,-58.39871183,-34.64539318,peaton,auto,peaton,M,35
2016-0132,2016,10,2,avenida,san juan av.,3,-58.41036975,-34.62477021,auto,autobus,pasajero_acompañante,M,30
2016-0133,2016,10,0,avenida,las heras general av.,14,-58.40204698,-34.5834269,moto,auto,conductor,M,41
2016-0134,2016,10,5,avenida,piedra buena av.,8,-58.48935287,-34.67648597,moto,objeto fijo,conductor,M,25
2016-0137,2016,10,0,avenida,san martin av.,11,-58.51537091,-34.59035925,moto,moto,conductor,M,30
2016-0138,2016,10,20,avenida,cabildo av.,13,-58.4590967,-34.55922742,bicicleta,de_carga,ciclista,F,33
2016-0139,2016,10,23,avenida,"figueroa alcorta, pres. av.",14,-58.42008769,-34.56539579,moto,moto,pasajero_acompañante,F,35
2016-0140,2016,10,2,avenida,juramento av.,13,-58.45566399,-34.56147293,autobus,autobus,pasajero_acompañante,M,20
2016-0142,2016,11,23,avenida,del libertador av.,1,-58.37533517,-34.59276462,moto,autobus,conductor,M,46
2016-0144,2016,11,12,avenida,"brown, alte. av.",4,-58.35975012,-34.63343907,peaton,autobus,peaton,M,83
2016-0145,2016,11,20,avenida,del libertador av.,13,-58.44523595,-34.55953855,moto,auto,conductor,M,39
2016-0146,2016,11,20,avenida,pichincha av.,4,-58.39626094,-34.63036565,peaton,autobus,peaton,F,29
2016-0147,2016,11,21,avenida,independencia av.,1,-58.38896772,-34.61799615,emergencias,autobus,pasajero_acompañante,M,55
2016-0148,2016,11,22,avenida,garmendia av.,15,-58.46536113,-34.59484504,moto,moto,conductor,M,24
2016-0150,2016,11,18,avenida,"alcorta, amancio av.",4,-58.40879146,-34.65273216,de_carga,de_carga,pasajero_acompañante,M,41
2016-0152,2016,11,21,avenida,"moreno, perito av.",7,-58.46451841,-34.64991946,moto,auto,conductor,M,42
2016-0153,2016,11,15,avenida,araoz,15,-58.4291709,-34.59485488,peaton,moto,peaton,F,83
2016-0154,2016,11,14,gral paz,"paz, gral. av.",8,-58.49007772,-34.68251141,moto,moto,conductor,M,38
2016-0155,2016,11,16,calle,madero,10,-58.52756365,-34.62772274,peaton,auto,peaton,F,29
2016-0156,2016,11,19,avenida,independencia av.,3,-58.40638983,-34.61943202,moto,autobus,conductor,M,23
2016-0157,2016,12,6,avenida,"justo, juan b. av.",11,-58.47576807,-34.61740997,moto,moto,conductor,M,23
2016-0160,2016,12,5,autopista,autopista perito moreno,9,-58.51927194,-34.63635787,de_carga,objeto fijo,conductor,M,29
2016-0161,2016,12,7,avenida,santa fe av.,14,-58.42525456,-34.57866344,peaton,autobus,peaton,M,50
2016-0162,2016,12,5,avenida,"lacroze, federico av.",15,-58.45396573,-34.58518167,peaton,auto,peaton,M,38
2016-0163,2016,12,7,gral paz,"paz, gral. av.",11,-58.52340614,-34.59798754,moto,auto,conductor,M,23
2016-0164,2016,12,6,avenida,la plata av.,4,-58.42323628,-34.64119105,auto,auto,conductor,M,29
2016-0165,2016,12,8,avenida,"garcia, martin av.",4,-58.36926144,-34.62841919,bicicleta,autobus,ciclista,M,37
2016-0168,2016,12,10,avenida,la plata av.,4,-58.42323628,-34.64119105,moto,auto,conductor,M,43
2016-0169,2016,12,15,avenida,nuñez,12,-58.47935434,-34.55676497,moto,autobus,conductor,M,24
2016-0170,2016,12,17,gral paz,"paz, gral. av.",12,-58.50598256,-34.5637998,moto,auto,pasajero_acompañante,M,21
2016-0171,2016,12,19,autopista,"huergo, ing. av.",1,-58.36607137,-34.62150748,moto,moto,conductor,M,24
2016-0172,2016,12,8,avenida,"garay, juan de av.",5,-58.41918902,-34.63174259,moto,de_carga,conductor,M,38
2016-0173,2016,12,19,avenida,directorio av.,7,-58.46749188,-34.63551751,moto,de_carga,conductor,M,35
2016-0175,2016,12,8,calle,"falcon, ramon l.,cnel.",7,-58.46064174,-34.62960517,peaton,bicicleta,peaton,F,24
2016-0176,2016,12,1,avenida,belgrano av.,1,-58.36956186,-34.61232875,moto,autobus,conductor,M,28
2016-0177,2016,12,4,calle,arenales,14,-58.40966671,-34.58788235,peaton,auto,peaton,F,27
2016-0178,2016,12,16,calle,republica bolivariana de venezuela,3,-58.40288226,-34.61544091,peaton,multiple,peaton,F,7
2017-0001,2017,1,1,avenida,"justo, juan b. av.",11,-58.4659423,-34.61028571,moto,de_carga,conductor,M,18
2017-0003,2017,1,3,avenida,olavarria,4,-58.38957669,-34.64410277,de_carga,de_carga,pasajero_acompañante,M,33
2017-0007,2017,1,17,calle,lima,1,-58.3816166,-34.61529543,peaton,multiple,peaton,M,48
